Algorithm;EFD_Top10;EPC_Top10;Gini_Top10;Diversity;Prec_Top10;Recall_Top10;SE_Top10;UCov;nDCG_Top10
pearson;0,266932256;0,023864576;0,241235907;789;0,027889714;0,011481999;8,727,525,851,178,830;943;0,017882738
aapsa_01;0,261179518;0,023340905;0,241830165;781;0,02757158;0,01091626;873,197,555,285,126;943;0,016966566
aapsa_02;0,258193917;0,023125496;0,241338018;786;0,02757158;0,010888172;873,139,909,614,961;943;0,01675725
aapsa_03;0,258939467;0,023162499;0,241893414;791;0,02757158;0,011042088;8,734,531,721,532,560;943;0,016668342
aapsa_04;0,261815792;0,023425566;0,242413253;792;0,027889714;0,010883414;8,738,470,896,662,230;943;0,016467531
aapsa_05;0,253376974;0,022717163;0,242259378;787;0,027465536;0,01035995;8,737,214,670,590,760;943;0,016076159
aapsa_06;0,256080605;0,022956288;0,240777429;780;0,027995758;0,010783107;8,727,202,289,507,610;943;0,016486039
aapsa_07;0,251132954;0,02248738;0,242049492;790;0,027783669;0,01024827;87,350,921,059,281;943;0,015874912
aapsa_08;0,25170334;0,022520856;0,243900708;791;0,027889714;0,010405296;874,520,021,728,692;943;0,015731909
aapsa_09;0,252834987;0,022633406;0,244812156;793;0,027995758;0,010324311;8,752,640,306,396,420;943;0,015720109
aapsa_10;0,251907419;0,022584923;0,24592704;794;0,027783669;0,010420303;8,761,381,544,755,260;943;0,015637117
mapsa;0,209640007;0,018729497;0,251280716;799;0,022693531;0,008375383;8,794,426,557,372,880;943;0,014326171
psas;0,027656259;0,002180716;0,166761803;692;0,002439024;0,001385957;8,132,191,187,658,190;943;0,001182926
aapa_01;0,263551108;0,023564765;0,241083605;780;0,027783669;0,011516376;8,728,894,782,142,550;943;0,017216815
aapa_02;0,267534704;0,023935446;0,242214065;788;0,028419936;0,011527729;8,736,387,006,718,430;943;0,018131062
aapa_03;0,266691496;0,023860191;0,242330337;787;0,028313892;0,011513203;8,736,889,764,544,060;943;0,018073649
aapa_04;0,266653879;0,023856697;0,242153333;787;0,028313892;0,011513203;8,736,093,110,791,190;943;0,018071528
aapa_05;0,265257449;0,023726632;0,241994267;788;0,028101803;0,011387877;8,735,235,201,415,710;943;0,017938539
aapa_06;0,263279652;0,023545726;0,24194801;788;0,027783669;0,011324251;8,734,793,835,980,650;943;0,017756895
aapa_07;0,26368956;0,023580891;0,241960597;788;0,027889714;0,011360818;8,734,726,170,224,710;943;0,017795171
aapa_08;0,265181298;0,023720889;0,242162774;789;0,027995758;0,011405421;8,736,445,229,620,770;943;0,017773067
aapa_09;0,264535353;0,023662022;0,242111325;789;0,027889714;0,011357219;873,622,323,949,412;943;0,017760313
aapa_10;0,263141489;0,023535816;0,242292733;789;0,027889714;0,011357219;8,736,764,957,341,880;943;0,017478477
mapa;0,198534411;0,017809614;0,216704782;734;0,022717622;0,009040742;8,582,279,823,943,190;942;0,014750206
pfas;0,063219145;0,005214048;0,179499262;715;0,007635207;0,0031768;8,261,477,752,876,810;943;0,004571074
aapf_01;0,263551108;0,023564765;0,241083605;780;0,027783669;0,011516376;8,728,894,782,142,550;943;0,017216815
aapf_02;0,270327352;0,02417673;0,240230057;776;0,028419936;0,011698301;8,722,907,652,629,410;943;0,01793907
aapf_03;0,269445025;0,024093678;0,24038283;775;0,027889714;0,011501719;872,321,640,366,625;943;0,017452481
aapf_04;0,267447351;0,023945477;0,239564053;781;0,028207847;0,011632704;8,718,260,316,651,740;943;0,017397773
aapf_05;0,263989919;0,023602138;0,23899544;785;0,028101803;0,011720376;8,714,772,747,865,080;943;0,017361943
aapf_06;0,272651876;0,024366779;0,238979077;785;0,029162248;0,011982933;8,716,025,213,529,260;943;0,017726685
aapf_07;0,267134006;0,023895965;0,237435925;779;0,028632025;0,011513178;8,706,944,600,093,030;943;0,017398402
aapf_08;0,265550493;0,023755277;0,237036448;776;0,028207847;0,011325339;8,703,727,829,789,040;943;0,017227871
